Date,price,signal,position,market_return,strategy_return,position_change,commission_cost,strategy_return_after_cost,cumulative_market_return,cumulative_strategy_return,strategy_value
2022-08-01,114.31346893310548,-1.0,-1.0,-0.012551610511574052,-0.012551610511574052,2.0,0.002,-0.014551610606568954,-0.1165227685931941,0.061656872958857134,10616.568729588571
2022-08-02,114.58218383789062,-1.0,-1.0,0.0023506845456888747,-0.0023506845456888747,0.0,0.0,-0.0023506845456888747,-0.1144459923188581,0.05916125255476845,10591.612525547684
2022-08-03,117.51815795898438,-1.0,-1.0,0.02562330392696599,-0.02562330392696599,0.0,0.0,-0.02562330392696599,-0.09175517283630141,0.03202204187289159,10320.220418728915
2022-08-04,117.62763214111328,1.0,1.0,0.0009315512090235512,-0.0009315512090235512,2.0,0.002,-0.0029315513040184538,-0.09090909626946764,0.02899661631026329,10289.966163102634
2022-08-05,116.91105651855467,1.0,1.0,-0.0060918987274942715,-0.0060918987274942715,0.0,0.0,-0.0060918987274942715,-0.09644718598908031,0.022728073132766813,10227.280731327668
2022-08-08,116.74186706542967,0.0,0.0,-0.0014471638368792616,-0.0014471638368792616,1.0,0.001,-0.002447163884376713,-0.09775477494622742,0.02022528992865813,10202.252899286581
2022-08-09,116.07504272460938,-1.0,-1.0,-0.005711955424240078,-0.0,1.0,0.001,-0.0010000000474974513,-0.10290835945346799,0.01920506459027127,10192.050645902713
2022-08-10,119.13044738769533,-1.0,-1.0,0.02632266671083605,-0.02632266671083605,0.0,0.0,-0.02632266671083605,-0.07929451519028452,-0.007623130634934583,9923.768693650654
2022-08-11,118.27452850341795,0.0,0.0,-0.0071847198012434665,0.0071847198012434665,1.0,0.001,0.006184719753746015,-0.08590952611811031,-0.0014855578078116771,9985.144421921883
2022-08-12,121.10102081298828,1.0,1.0,0.023897726292678945,0.0,1.0,0.001,-0.0010000000474974513,-0.06406484216653574,-0.0024840722974307505,9975.159277025692
2022-08-15,121.49913024902344,1.0,1.0,0.003287416021454881,0.003287416021454881,0.0,0.0,0.003287416021454881,-0.06098803393363106,0.0007951775449550613,10007.95177544955
2022-08-16,121.12092590332033,1.0,1.0,-0.0031128152516642915,-0.0031128152516642915,0.0,0.0,-0.0031128152516642915,-0.06391100470309774,-0.002320112947498898,9976.798870525012
2022-08-17,118.98116302490234,0.0,0.0,-0.01766633521383376,-0.01766633521383376,1.0,0.001,-0.018666335261331213,-0.08044826668399363,-0.020943140202707933,9790.56859797292
2022-08-18,119.59820556640624,1.0,1.0,0.005186052361706661,0.0,1.0,0.001,-0.0010000000474974513,-0.07567942324571875,-0.02192219710900789,9780.778028909921
2022-08-19,116.65229034423828,1.0,1.0,-0.024631767744477173,-0.024631767744477173,0.0,0.0,-0.024631767744477173,-0.09844707301377142,-0.04601398238584731,9539.860176141527
2022-08-22,113.69642639160156,-1.0,-1.0,-0.02533909916311139,-0.02533909916311139,2.0,0.002,-0.027339099258106292,-0.12129161203146877,-0.07209510081224613,9279.048991877538
2022-08-23,113.3182373046875,-1.0,-1.0,-0.0033263058384216393,0.0033263058384216393,0.0,0.0,0.0033263058384216393,-0.12421446487263854,-0.06900860532857789,9309.913946714221
2022-08-24,113.14904022216795,-1.0,-1.0,-0.0014931143172004502,0.0014931143172004502,0.0,0.0,0.0014931143172004502,-0.12552211279393422,-0.06761852874800345,9323.814712519965
2022-08-25,116.09495544433594,0.0,0.0,0.026035706678410042,-0.026035706678410042,1.0,0.001,-0.027035706725907493,-0.10275446302588132,-0.09282612076144259,9071.738792385575
2022-08-26,109.81497955322266,0.0,0.0,-0.054093443311792666,-0.0,0.0,0.0,-0.0,-0.15128956361694978,-0.09282612076144259,9071.738792385575
2022-08-29,108.89935302734376,1.0,1.0,-0.008337901892839006,-0.0,1.0,0.001,-0.0010000000474974513,-0.15836602797094024,-0.09373329468376956,9062.667053162304
2022-08-30,108.42163848876952,1.0,1.0,-0.004386752770278557,-0.004386752770278557,0.0,0.0,-0.004386752770278557,-0.16205806812929924,-0.09770886266392675,9022.911373360732
2022-08-31,107.70506286621094,1.0,1.0,-0.006609156922423809,-0.006609156922423809,0.0,0.0,-0.006609156922423809,-0.1675961578489117,-0.10367224638029315,8963.277536197069
2022-09-01,109.21784210205078,-1.0,-1.0,0.014045572191151212,0.014045572191151212,2.0,0.002,0.01204557209615631,-0.1559045695917869,-0.09287546580228112,9071.245341977188
2022-09-02,107.33682250976562,1.0,1.0,-0.017222640148187307,0.017222640148187307,2.0,0.002,0.015222640053192404,-0.1704421214404368,-0.07906663553476956,9209.333644652304
2022-09-06,106.30177307128906,1.0,1.0,-0.009643004276397305,-0.009643004276397305,0.0,0.0,-0.009643004276397305,-0.1784415516109057,-0.08794719990658473,9120.528000934153
2022-09-07,108.92921447753906,1.0,1.0,0.024716816383560714,0.024716816383560714,0.0,0.0,0.024716816383560714,-0.15813524229370945,-0.06540415831456337,9345.958416854366
2022-09-08,107.86429595947266,-1.0,-1.0,-0.009776243436383059,-0.009776243436383059,2.0,0.002,-0.011776243531377961,-0.1663655171055578,-0.07641018654966425,9235.898134503357
2022-09-09,110.12350463867188,0.0,0.0,0.020944916564866523,-0.020944916564866523,1.0,0.001,-0.021944916612363974,-0.14890511241573812,-0.09667828798986067,9033.217120101393
2022-09-12,110.33250427246094,-1.0,-1.0,0.0018978658050778918,0.0,1.0,0.001,-0.0010000000474974513,-0.14728984853171534,-0.09758160974477625,9024.183902552237
2022-09-13,103.82362365722656,1.0,1.0,-0.05899331895124038,0.05899331895124038,2.0,0.002,0.05699331885624548,-0.19759405047024436,-0.04614979068722047,9538.502093127796
2022-09-14,104.5003890991211,0.0,0.0,0.006518414769733694,0.006518414769733694,1.0,0.001,0.005518414722236242,-0.19236363567750747,-0.04088604964934073,9591.139503506593
2022-09-15,102.42034149169922,-1.0,-1.0,-0.019904687679668798,-0.0,1.0,0.001,-0.0010000000474974513,-0.20843938526808992,-0.04184516364524682,9581.548363547532
2022-09-16,102.31085968017578,1.0,1.0,-0.0010689459723419725,0.0010689459723419725,2.0,0.002,-0.0009310541226529301,-0.20928552079907214,-0.04273725765577474,9572.627423442253
2022-09-19,102.57957458496094,0.0,0.0,0.002626455350147161,0.002626455350147161,1.0,0.001,0.0016264553026497097,-0.20720874452473603,-0.04118031259246002,9588.1968740754
2022-09-20,100.65876007080078,-1.0,-1.0,-0.01872511678793576,-0.0,1.0,0.001,-0.0010000000474974513,-0.2220538533719646,-0.042139132325409,9578.60867674591
2022-09-21,98.80760192871094,1.0,1.0,-0.018390432594120876,0.018390432594120876,2.0,0.002,0.016390432499125973,-0.2363606195433835,-0.02643937843023436,9735.606215697657
2022-09-22,99.66350555419922,-1.0,-1.0,0.008662325658969072,0.008662325658969072,2.0,0.002,0.00666232556397417,-0.22974572654385494,-0.019953200613071487,9800.467993869284
2022-09-23,98.27017974853516,1.0,1.0,-0.013980300992988304,0.013980300992988304,2.0,0.002,0.011980300897993401,-0.24051411312790738,-0.008211945062300607,9917.880549376994
2022-09-26,97.702880859375,1.0,1.0,-0.005772848799216912,-0.005772848799216912,0.0,0.0,-0.005772848799216912,-0.24489851031795917,-0.013937387544325386,9860.626124556746
2022-09-27,97.03607940673828,1.0,1.0,-0.00682478803871156,-0.00682478803871156,0.0,0.0,-0.00682478803871156,-0.2500519179327545,-0.020667055867233497,9793.329441327665
2022-09-28,99.5739517211914,-1.0,-1.0,0.026153904093912717,0.026153904093912717,2.0,0.002,0.024153903998917814,-0.23043784771895393,0.002987658048326791,10029.876580483267
2022-09-29,96.95645904541016,1.0,1.0,-0.026286921735418023,0.026286921735418023,2.0,0.002,0.02428692164042312,-0.2506672677865056,0.027347140705658024,10273.47140705658
2022-09-30,95.19487762451172,1.0,1.0,-0.018168788735089758,-0.018168788735089758,0.0,0.0,-0.018168788735089758,-0.2642817358903802,0.008681487548578337,10086.814875485783
